run_id,type,v_A_kmh,dk_min,N_P_zone,cV,cD,cP,seed,sv,hr,rr,n_hit,n_exp,weapon_bind,sec,solver_sec,status
9,center,600.0,6.0,6,0,0,0,314,136.0,1.0,1.0,24,24,0.0,2.18,2.08,Optimal
10,center,600.0,6.0,6,0,0,0,7,143.0,1.0,1.0,24,24,0.0,2.28,2.18,Optimal
10,center,600.0,6.0,6,0,0,0,21,124.0,1.0,1.0,24,24,0.0,1.68,1.61,Optimal
10,center,600.0,6.0,6,0,0,0,42,141.0,1.0,1.0,24,24,0.0,2.02,1.96,Optimal
10,center,600.0,6.0,6,0,0,0,99,137.0,1.0,1.0,24,24,0.0,2.26,2.19,Optimal
10,center,600.0,6.0,6,0,0,0,137,139.0,1.0,1.0,24,24,0.0,1.87,1.8,Optimal
10,center,600.0,6.0,6,0,0,0,314,136.0,1.0,1.0,24,24,0.0,2.22,2.12,Optimal
11,center,600.0,6.0,6,0,0,0,7,143.0,1.0,1.0,24,24,0.0,2.23,2.17,Optimal
11,center,600.0,6.0,6,0,0,0,21,124.0,1.0,1.0,24,24,0.0,1.75,1.65,Optimal
11,center,600.0,6.0,6,0,0,0,42,141.0,1.0,1.0,24,24,0.0,2.06,1.99,Optimal
11,center,600.0,6.0,6,0,0,0,99,137.0,1.0,1.0,24,24,0.0,2.21,2.14,Optimal
11,center,600.0,6.0,6,0,0,0,137,139.0,1.0,1.0,24,24,0.0,1.78,1.72,Optimal
11,center,600.0,6.0,6,0,0,0,314,136.0,1.0,1.0,24,24,0.0,2.26,2.17,Optimal
