v_A,dk_min,N_P,WoverNP,seed,status,obj,sv,hr,rr,n_hit,n_K,n_exp,n_P,weapon_bind,sec
300,9,10,0.8,137,Optimal,46516.0,208.0,0.8,1.0,32,40,40,40,1.0,2.8
300,9,12,0.667,7,Optimal,60966.0,216.0,0.6667,1.0,32,48,48,48,1.0,3.8
300,9,12,0.667,21,Optimal,82594.0,250.0,0.6667,1.0,32,48,48,48,1.0,3.6
300,9,12,0.667,137,Optimal,69237.0,237.0,0.6667,1.0,32,48,48,48,1.0,3.2
300,3,6,1.333,7,Optimal,16149.0,21.0,0.2083,1.0,5,24,24,24,0.0,6.2
300,3,6,1.333,21,Optimal,18287.0,37.0,0.25,1.0,6,24,24,24,0.0,3.8
300,3,6,1.333,137,Optimal,15776.0,96.0,0.7083,1.0,17,24,24,24,0.0,3.4
600,6,10,0.8,42,Optimal,44166.0,187.0,0.8,1.0,32,40,40,40,1.0,2.7
600,6,10,0.8,99,Optimal,47668.0,208.0,0.8,1.0,32,40,40,40,1.0,2.8
600,6,10,0.8,314,Optimal,47721.0,201.0,0.8,1.0,32,40,40,40,1.0,2.4
600,6,10,0.8,7,Optimal,42124.0,199.0,0.8,1.0,32,40,40,40,1.0,1.9
600,6,10,0.8,21,Optimal,58503.0,223.0,0.8,1.0,32,40,40,40,1.0,1.8
600,6,10,0.8,137,Optimal,46516.0,208.0,0.8,1.0,32,40,40,40,1.0,2.0
300,3,10,0.8,21,Optimal,58396.0,116.0,0.45,1.0,18,40,40,40,0.5,54.4
