N_P,v_A,dk_min,n,HR,HR_sd,SV,SV_sd
4,300,3,6,0.2917,0.1882,25.0,17.5043
4,300,9,6,1.0,0.0,88.6667,9.4798
4,1110,3,6,1.0,0.0,88.6667,9.4798
4,1110,9,6,1.0,0.0,88.6667,9.4798
8,300,3,6,0.625,0.2622,110.0,53.1074
8,300,9,6,1.0,0.0,177.3333,12.16
8,1110,3,6,1.0,0.0,177.3333,12.16
8,1110,9,6,1.0,0.0,177.3333,12.16
6,600,6,6,1.0,0.0,136.6667,6.7132
