response,factorial_mean,center_mean,n_F,n_C,SS_curvature,MS_pure_error,df_error,F,p,verdict
sv,148.8542,177.3333,48,6,4325.669,528.67037,45,8.182,0.00639,significant curvature
hr,0.7823,1.0,48,6,0.2528,0.01027,45,24.617,1e-05,significant curvature
